Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,D,D,D,D,D,D,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,5.824594974517822,20.9375,21.0,20.5,20.5,630800,DALRQ,1996-01-02 to 2005-08-19
1996-01-03 00:00:00+00:00,5.894139766693115,21.1875,21.1875,20.875,20.9375,307800,DALRQ,1996-01-02 to 2005-08-19
1996-01-04 00:00:00+00:00,5.841978549957275,21.0,21.1875,20.9375,21.0625,619400,DALRQ,1996-01-02 to 2005-08-19
1996-01-05 00:00:00+00:00,5.876753330230713,21.125,21.125,20.6875,20.875,662000,DALRQ,1996-01-02 to 2005-08-19
1996-01-08 00:00:00+00:00,5.894139766693115,21.1875,21.25,21.0625,21.0625,85400,DALRQ,1996-01-02 to 2005-08-19
1996-01-09 00:00:00+00:00,5.963688850402832,21.4375,21.4375,21.1875,21.1875,655000,DALRQ,1996-01-02 to 2005-08-19
1996-01-10 00:00:00+00:00,5.91152811050415,21.25,21.375,21.125,21.25,777600,DALRQ,1996-01-02 to 2005-08-19
1996-01-11 00:00:00+00:00,5.876753330230713,21.125,21.3125,20.9375,21.3125,974400,DALRQ,1996-01-02 to 2005-08-19
1996-01-12 00:00:00+00:00,5.859367847442627,21.0625,21.1875,21.0,21.1875,248800,DALRQ,1996-01-02 to 2005-08-19
1996-01-15 00:00:00+00:00,5.841978549957275,21.0,21.125,21.0,21.0625,111200,DALRQ,1996-01-02 to 2005-08-19
1996-01-16 00:00:00+00:00,5.92891263961792,21.3125,21.375,21.0,21.0625,361200,DALRQ,1996-01-02 to 2005-08-19
1996-01-17 00:00:00+00:00,5.92891263961792,21.3125,21.375,21.1875,21.3125,390400,DALRQ,1996-01-02 to 2005-08-19
1996-01-18 00:00:00+00:00,5.91152811050415,21.25,21.28125,21.125,21.25,341600,DALRQ,1996-01-02 to 2005-08-19
1996-01-19 00:00:00+00:00,5.894139766693115,21.1875,21.25,21.0,21.1875,365600,DALRQ,1996-01-02 to 2005-08-19
1996-01-22 00:00:00+00:00,5.876753330230713,21.125,21.1875,21.0625,21.125,222400,DALRQ,1996-01-02 to 2005-08-19
1996-01-23 00:00:00+00:00,5.894139766693115,21.1875,21.25,21.0625,21.125,286000,DALRQ,1996-01-02 to 2005-08-19
1996-01-24 00:00:00+00:00,5.9462995529174805,21.375,21.375,21.1875,21.25,298600,DALRQ,1996-01-02 to 2005-08-19
1996-01-25 00:00:00+00:00,5.876753330230713,21.125,21.3125,21.0625,21.3125,261800,DALRQ,1996-01-02 to 2005-08-19
1996-01-26 00:00:00+00:00,5.894139766693115,21.1875,21.1875,21.0,21.125,338800,DALRQ,1996-01-02 to 2005-08-19
1996-01-29 00:00:00+00:00,5.91152811050415,21.25,21.3125,21.125,21.25,327200,DALRQ,1996-01-02 to 2005-08-19
1996-01-30 00:00:00+00:00,5.91152811050415,21.25,21.375,21.25,21.375,245200,DALRQ,1996-01-02 to 2005-08-19
1996-01-31 00:00:00+00:00,5.963688850402832,21.4375,21.4375,21.25,21.25,299000,DALRQ,1996-01-02 to 2005-08-19
1996-02-01 00:00:00+00:00,5.91152811050415,21.25,21.375,21.125,21.3125,199200,DALRQ,1996-01-02 to 2005-08-19
1996-02-02 00:00:00+00:00,5.841978549957275,21.0,21.1875,21.0,21.1875,364600,DALRQ,1996-01-02 to 2005-08-19
1996-02-05 00:00:00+00:00,5.859367847442627,21.0625,21.0625,20.8125,21.0,299000,DALRQ,1996-01-02 to 2005-08-19
1996-02-06 00:00:00+00:00,5.91152811050415,21.25,21.25,21.0,21.0,454000,DALRQ,1996-01-02 to 2005-08-19
1996-02-07 00:00:00+00:00,5.963688850402832,21.4375,21.4375,21.25,21.3125,207600,DALRQ,1996-01-02 to 2005-08-19
1996-02-08 00:00:00+00:00,5.963688850402832,21.4375,21.5,21.3125,21.375,220800,DALRQ,1996-01-02 to 2005-08-19
1996-02-09 00:00:00+00:00,5.998462200164795,21.5625,21.625,21.375,21.4375,525000,DALRQ,1996-01-02 to 2005-08-19
1996-02-12 00:00:00+00:00,6.068009376525879,21.8125,21.8125,21.5,21.5625,442800,DALRQ,1996-01-02 to 2005-08-19
1996-02-13 00:00:00+00:00,6.102783679962158,21.9375,22.1875,21.8125,21.8125,536400,DALRQ,1996-01-02 to 2005-08-19
1996-02-14 00:00:00+00:00,6.050618648529053,21.75,21.9375,21.625,21.9375,363800,DALRQ,1996-01-02 to 2005-08-19
1996-02-15 00:00:00+00:00,6.033235549926758,21.6875,21.75,21.5,21.6875,341000,DALRQ,1996-01-02 to 2005-08-19
1996-02-16 00:00:00+00:00,5.998462200164795,21.5625,21.625,21.4375,21.625,614000,DALRQ,1996-01-02 to 2005-08-19
1996-02-20 00:00:00+00:00,5.894139766693115,21.1875,21.5625,21.0625,21.4375,890200,DALRQ,1996-01-02 to 2005-08-19
1996-02-21 00:00:00+00:00,5.894139766693115,21.1875,21.25,21.0625,21.1875,340600,DALRQ,1996-01-02 to 2005-08-19
1996-02-22 00:00:00+00:00,5.894139766693115,21.1875,21.375,21.1875,21.1875,636000,DALRQ,1996-01-02 to 2005-08-19
