Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,D,D,D,D,D,D,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,5.8245930671691895,20.9375,21.0,20.5,20.5,630800,DWD,1996-01-02 to 1997-06-02
1996-01-03 00:00:00+00:00,5.894142150878906,21.1875,21.1875,20.875,20.9375,307800,DWD,1996-01-02 to 1997-06-02
1996-01-04 00:00:00+00:00,5.841980457305908,21.0,21.1875,20.9375,21.0625,619400,DWD,1996-01-02 to 1997-06-02
1996-01-05 00:00:00+00:00,5.876756191253662,21.125,21.125,20.6875,20.875,662000,DWD,1996-01-02 to 1997-06-02
1996-01-08 00:00:00+00:00,5.894142150878906,21.1875,21.25,21.0625,21.0625,85400,DWD,1996-01-02 to 1997-06-02
1996-01-09 00:00:00+00:00,5.96368408203125,21.4375,21.4375,21.1875,21.1875,655000,DWD,1996-01-02 to 1997-06-02
1996-01-10 00:00:00+00:00,5.911526203155518,21.25,21.375,21.125,21.25,777600,DWD,1996-01-02 to 1997-06-02
1996-01-11 00:00:00+00:00,5.876756191253662,21.125,21.3125,20.9375,21.3125,974400,DWD,1996-01-02 to 1997-06-02
1996-01-12 00:00:00+00:00,5.859367370605469,21.0625,21.1875,21.0,21.1875,248800,DWD,1996-01-02 to 1997-06-02
1996-01-15 00:00:00+00:00,5.841980457305908,21.0,21.125,21.0,21.0625,111200,DWD,1996-01-02 to 1997-06-02
1996-01-16 00:00:00+00:00,5.928915500640869,21.3125,21.375,21.0,21.0625,361200,DWD,1996-01-02 to 1997-06-02
1996-01-17 00:00:00+00:00,5.928915500640869,21.3125,21.375,21.1875,21.3125,390400,DWD,1996-01-02 to 1997-06-02
1996-01-18 00:00:00+00:00,5.911526203155518,21.25,21.28125,21.125,21.25,341600,DWD,1996-01-02 to 1997-06-02
1996-01-19 00:00:00+00:00,5.894142150878906,21.1875,21.25,21.0,21.1875,365600,DWD,1996-01-02 to 1997-06-02
1996-01-22 00:00:00+00:00,5.876756191253662,21.125,21.1875,21.0625,21.125,222400,DWD,1996-01-02 to 1997-06-02
1996-01-23 00:00:00+00:00,5.894142150878906,21.1875,21.25,21.0625,21.125,286000,DWD,1996-01-02 to 1997-06-02
1996-01-24 00:00:00+00:00,5.946300506591797,21.375,21.375,21.1875,21.25,298600,DWD,1996-01-02 to 1997-06-02
1996-01-25 00:00:00+00:00,5.876756191253662,21.125,21.3125,21.0625,21.3125,261800,DWD,1996-01-02 to 1997-06-02
1996-01-26 00:00:00+00:00,5.894142150878906,21.1875,21.1875,21.0,21.125,338800,DWD,1996-01-02 to 1997-06-02
1996-01-29 00:00:00+00:00,5.911526203155518,21.25,21.3125,21.125,21.25,327200,DWD,1996-01-02 to 1997-06-02
1996-01-30 00:00:00+00:00,5.911526203155518,21.25,21.375,21.25,21.375,245200,DWD,1996-01-02 to 1997-06-02
1996-01-31 00:00:00+00:00,5.96368408203125,21.4375,21.4375,21.25,21.25,299000,DWD,1996-01-02 to 1997-06-02
1996-02-01 00:00:00+00:00,5.911526203155518,21.25,21.375,21.125,21.3125,199200,DWD,1996-01-02 to 1997-06-02
1996-02-02 00:00:00+00:00,5.841980457305908,21.0,21.1875,21.0,21.1875,364600,DWD,1996-01-02 to 1997-06-02
1996-02-05 00:00:00+00:00,5.859367370605469,21.0625,21.0625,20.8125,21.0,299000,DWD,1996-01-02 to 1997-06-02
1996-02-06 00:00:00+00:00,5.911526203155518,21.25,21.25,21.0,21.0,454000,DWD,1996-01-02 to 1997-06-02
1996-02-07 00:00:00+00:00,5.96368408203125,21.4375,21.4375,21.25,21.3125,207600,DWD,1996-01-02 to 1997-06-02
1996-02-08 00:00:00+00:00,5.96368408203125,21.4375,21.5,21.3125,21.375,220800,DWD,1996-01-02 to 1997-06-02
1996-02-09 00:00:00+00:00,5.9984612464904785,21.5625,21.625,21.375,21.4375,525000,DWD,1996-01-02 to 1997-06-02
1996-02-12 00:00:00+00:00,6.068009376525879,21.8125,21.8125,21.5,21.5625,442800,DWD,1996-01-02 to 1997-06-02
1996-02-13 00:00:00+00:00,6.102783679962158,21.9375,22.1875,21.8125,21.8125,536400,DWD,1996-01-02 to 1997-06-02
1996-02-14 00:00:00+00:00,6.050624370574951,21.75,21.9375,21.625,21.9375,363800,DWD,1996-01-02 to 1997-06-02
1996-02-15 00:00:00+00:00,6.033234119415283,21.6875,21.75,21.5,21.6875,341000,DWD,1996-01-02 to 1997-06-02
1996-02-16 00:00:00+00:00,5.9984612464904785,21.5625,21.625,21.4375,21.625,614000,DWD,1996-01-02 to 1997-06-02
1996-02-20 00:00:00+00:00,5.894142150878906,21.1875,21.5625,21.0625,21.4375,890200,DWD,1996-01-02 to 1997-06-02
1996-02-21 00:00:00+00:00,5.894142150878906,21.1875,21.25,21.0625,21.1875,340600,DWD,1996-01-02 to 1997-06-02
1996-02-22 00:00:00+00:00,5.894142150878906,21.1875,21.375,21.1875,21.1875,636000,DWD,1996-01-02 to 1997-06-02
1996-02-23 00:00:00+00:00,5.859367370605469,21.0625,21.3125,21.0,21.25,440600,DWD,1996-01-02 to 1997-06-02
